year	1	2	3	4	5	6	7	8	9	10	11	12
2022	101.9	99.7	103.3	102.0	101.7	101.5	100.5	 	 	 	 	 
2021	101.3	100.5	101.0	100.8	100.3	100.1	100.4	100.3	100.7	101.1	101.0	100.9
